id,task,task_label,contestant,contestant_label,base,adjustment,points,rank,rigid,spread,scale,5+3,3+2,3½+2½
304,65,"Put on gloves, eat a banana, put on a tie, and clap",9,Joe Wilkinson,0,,0,,,,,,,
305,65,"Put on gloves, eat a banana, put on a tie, and clap",10,Jon Richardson,2,,2,4,2.0,2.0,2.0,,,
306,65,"Put on gloves, eat a banana, put on a tie, and clap",11,Katherine Ryan,3,,3,3,3.0,3.0,3.0,,,
307,65,"Put on gloves, eat a banana, put on a tie, and clap",12,Richard Osman,5,,5,1,5.0,5.0,5.0,,,
308,66,The most flamboyant clock,13,Al Murray,4,,4,2,4.0,4.0,4.0,,,
309,66,The most flamboyant clock,14,Dave Gorman,3,,3,3,3.0,3.0,3.0,,,
310,66,The most flamboyant clock,15,Paul Chowdhry,1,,1,5,1.0,1.0,1.0,,,
311,66,The most flamboyant clock,16,Rob Beckett,2,,2,4,2.0,2.0,2.0,,,
312,66,The most flamboyant clock,17,Sara Pascoe,5,,5,1,5.0,5.0,5.0,,,
313,67,Reach the microwave in the fewest steps,13,Al Murray,4,,4,2,4.0,4.0,4.0,,,
314,67,Reach the microwave in the fewest steps,14,Dave Gorman,2,,2,4,2.0,2.0,2.0,,,
315,67,Reach the microwave in the fewest steps,15,Paul Chowdhry,0,,0,,,,,,,
316,67,Reach the microwave in the fewest steps,16,Rob Beckett,5,,5,1,5.0,5.0,5.0,,,
317,67,Reach the microwave in the fewest steps,17,Sara Pascoe,3,,3,3,3.0,3.0,3.0,,,
318,68,Propel a pea along a red carpet,13,Al Murray,5,,5,1,5.0,5.0,5.0,,,
319,68,Propel a pea along a red carpet,14,Dave Gorman,,,0,,,,,,,
320,68,Propel a pea along a red carpet,15,Paul Chowdhry,2,,2,4,2.0,2.0,2.0,,,
321,68,Propel a pea along a red carpet,16,Rob Beckett,4,,4,2,4.0,4.0,4.0,,,
322,68,Propel a pea along a red carpet,17,Sara Pascoe,3,,3,3,3.0,3.0,3.0,,,
323,69,Make the best snowman,13,Al Murray,3,,3,3,3.0,3.0,3.0,,,
324,69,Make the best snowman,14,Dave Gorman,5,,5,1,5.0,5.0,5.0,,,
325,69,Make the best snowman,15,Paul Chowdhry,1,,1,5,1.0,1.0,1.0,,,
326,69,Make the best snowman,16,Rob Beckett,2,,2,4,2.0,2.0,2.0,,,
327,69,Make the best snowman,17,Sara Pascoe,4,,4,2,4.0,4.0,4.0,,,
328,70,Balance swedes on a Swede,13,Al Murray,5,,5,1,5.0,5.0,5.0,,,
329,70,Balance swedes on a Swede,14,Dave Gorman,3,,3,3,3.0,3.0,3.0,,,
330,70,Balance swedes on a Swede,15,Paul Chowdhry,4,,4,2,4.0,4.0,4.0,,,
331,70,Balance swedes on a Swede,16,Rob Beckett,2,,2,4,2.0,2.0,2.0,,,
332,70,Balance swedes on a Swede,17,Sara Pascoe,1,,1,5,1.0,1.0,1.0,,,
333,71,The heaviest shoebox-sized item,13,Al Murray,3,,3,3,3.0,3.0,3.0,,,
334,71,The heaviest shoebox-sized item,14,Dave Gorman,5,,5,1,5.0,5.0,5.0,,,
335,71,The heaviest shoebox-sized item,15,Paul Chowdhry,2,,2,4,2.0,2.0,2.0,,,
336,71,The heaviest shoebox-sized item,16,Rob Beckett,4,,4,2,4.0,4.0,4.0,,,
337,71,The heaviest shoebox-sized item,17,Sara Pascoe,1,,1,5,1.0,1.0,1.0,,,
338,72,Surprise Alex,13,Al Murray,4,,4,2,4.0,4.0,4.0,,,
339,72,Surprise Alex,14,Dave Gorman,3,,3,3,3.0,3.0,3.0,,,
340,72,Surprise Alex,15,Paul Chowdhry,1,,1,5,1.0,1.0,1.0,,,
341,72,Surprise Alex,16,Rob Beckett,5,,5,1,5.0,5.0,5.0,,,
342,72,Surprise Alex,17,Sara Pascoe,2,,2,4,2.0,2.0,2.0,,,
343,73,Release Alex,13,Al Murray,0,,0,,,,,,,
344,73,Release Alex,14,Dave Gorman,0,,0,,,,,,,
345,73,Release Alex,15,Paul Chowdhry,0,,0,,,,,,,
346,73,Release Alex,16,Rob Beckett,5,,5,1=,,,5.0,5.0,3.0,3.5
347,73,Release Alex,17,Sara Pascoe,5,,5,1=,,,5.0,5.0,3.0,3.5
348,74,An upside-down condiment self-portrait,13,Al Murray,5,,5,1,5.0,5.0,4.69,,,
349,74,An upside-down condiment self-portrait,14,Dave Gorman,3,,3,3,3.0,3.0,2.81,,,
350,74,An upside-down condiment self-portrait,15,Paul Chowdhry,2,,2,4=,2.0,1.5,1.88,,,
351,74,An upside-down condiment self-portrait,16,Rob Beckett,2,,2,4=,2.0,1.5,1.88,,,
352,74,An upside-down condiment self-portrait,17,Sara Pascoe,4,,4,2,4.0,4.0,3.75,,,
353,75,Burst all of the balloons,13,Al Murray,1,,1,5,1.0,1.0,1.0,,,
354,75,Burst all of the balloons,14,Dave Gorman,3,,3,3,3.0,3.0,3.0,,,
355,75,Burst all of the balloons,15,Paul Chowdhry,4,,4,2,4.0,4.0,4.0,,,
356,75,Burst all of the balloons,16,Rob Beckett,5,,5,1,5.0,5.0,5.0,,,
357,75,Burst all of the balloons,17,Sara Pascoe,2,,2,4,2.0,2.0,2.0,,,
358,76,Unravel the tape,13,Al Murray,5,,5,1,5.0,5.0,5.0,,,
359,76,Unravel the tape,14,Dave Gorman,3,,3,3,3.0,3.0,3.0,,,
360,76,Unravel the tape,15,Paul Chowdhry,4,,4,2,4.0,4.0,4.0,,,
361,76,Unravel the tape,16,Rob Beckett,0,,0,,,,,,,
362,76,Unravel the tape,17,Sara Pascoe,2,,2,4,2.0,2.0,2.0,,,
363,77,The best battery-operated item,13,Al Murray,2,,2,4,2.0,2.0,2.0,,,
364,77,The best battery-operated item,14,Dave Gorman,1,,1,5,1.0,1.0,1.0,,,
365,77,The best battery-operated item,15,Paul Chowdhry,4,,4,2,4.0,4.0,4.0,,,
366,77,The best battery-operated item,16,Rob Beckett,5,,5,1,5.0,5.0,5.0,,,
367,77,The best battery-operated item,17,Sara Pascoe,3,,3,3,3.0,3.0,3.0,,,
368,78,Fill an eggcup with sweat,13,Al Murray,,,0,,,,,,,
369,78,Fill an eggcup with sweat,14,Dave Gorman,3,,3,3,3.0,3.0,3.0,,,
370,78,Fill an eggcup with sweat,15,Paul Chowdhry,5,,5,1,5.0,5.0,5.0,,,
371,78,Fill an eggcup with sweat,16,Rob Beckett,2,,2,4,2.0,2.0,2.0,,,
372,78,Fill an eggcup with sweat,17,Sara Pascoe,4,,4,2,4.0,4.0,4.0,,,
373,79,Make the best domino rally,13,Al Murray,1,,1,4=,2.0,1.5,1.0,,,
374,79,Make the best domino rally,14,Dave Gorman,4,,4,2,4.0,4.0,4.0,,,
375,79,Make the best domino rally,15,Paul Chowdhry,5,,5,1,5.0,5.0,5.0,,,
376,79,Make the best domino rally,16,Rob Beckett,3,,3,3,3.0,3.0,3.0,,,
377,79,Make the best domino rally,17,Sara Pascoe,1,,1,4=,2.0,1.5,1.0,,,
378,80,Buy a gift for the Taskmaster,13,Al Murray,3,,3,3,3.0,3.0,3.0,,,
379,80,Buy a gift for the Taskmaster,14,Dave Gorman,5,,5,1,5.0,5.0,5.0,,,
380,80,Buy a gift for the Taskmaster,15,Paul Chowdhry,2,,2,4,2.0,2.0,2.0,,,
381,80,Buy a gift for the Taskmaster,16,Rob Beckett,4,,4,2,4.0,4.0,4.0,,,
382,80,Buy a gift for the Taskmaster,17,Sara Pascoe,1,,1,5,1.0,1.0,1.0,,,
383,81,Create the best flag meal,13,Al Murray,2,,2,4,2.0,2.0,2.0,,,
384,81,Create the best flag meal,14,Dave Gorman,5,,5,1,5.0,5.0,5.0,,,
385,81,Create the best flag meal,15,Paul Chowdhry,4,,4,2,4.0,4.0,4.0,,,
386,81,Create the best flag meal,16,Rob Beckett,1,,1,5,1.0,1.0,1.0,,,
387,81,Create the best flag meal,17,Sara Pascoe,3,,3,3,3.0,3.0,3.0,,,
388,82,Anchor balloons using bread,13,Al Murray,1,,1,5,1.0,1.0,1.0,,,
389,82,Anchor balloons using bread,14,Dave Gorman,3,,3,3,3.0,3.0,3.0,,,
390,82,Anchor balloons using bread,15,Paul Chowdhry,2,,2,4,2.0,2.0,2.0,,,
391,82,Anchor balloons using bread,16,Rob Beckett,4,,4,2,4.0,4.0,4.0,,,
392,82,Anchor balloons using bread,17,Sara Pascoe,5,,5,1,5.0,5.0,5.0,,,
393,83,The shiniest thing,13,Al Murray,1,,1,5,1.0,1.0,1.0,,,
394,83,The shiniest thing,14,Dave Gorman,3,,3,3,3.0,3.0,3.0,,,
395,83,The shiniest thing,15,Paul Chowdhry,5,,5,1,5.0,5.0,5.0,,,
396,83,The shiniest thing,16,Rob Beckett,2,,2,4,2.0,2.0,2.0,,,
397,83,The shiniest thing,17,Sara Pascoe,4,,4,2,4.0,4.0,4.0,,,
398,84,Spread your clothes far and wide,13,Al Murray,5,,5,1,5.0,5.0,5.0,,,
399,84,Spread your clothes far and wide,14,Dave Gorman,3,,3,3,3.0,3.0,3.0,,,
400,84,Spread your clothes far and wide,15,Paul Chowdhry,1,,1,5,1.0,1.0,1.0,,,
401,84,Spread your clothes far and wide,16,Rob Beckett,4,,4,2,4.0,4.0,4.0,,,
402,84,Spread your clothes far and wide,17,Sara Pascoe,2,,2,4,2.0,2.0,2.0,,,
403,85,Find out the lying old man’s occupation,13,Al Murray,5,,5,1,5.0,5.0,5.0,,,
404,85,Find out the lying old man’s occupation,14,Dave Gorman,4,,4,2,4.0,4.0,4.0,,,
405,85,Find out the lying old man’s occupation,15,Paul Chowdhry,1,,1,5,1.0,1.0,1.0,,,
406,85,Find out the lying old man’s occupation,16,Rob Beckett,2,,2,4,2.0,2.0,2.0,,,
407,85,Find out the lying old man’s occupation,17,Sara Pascoe,3,,3,3,3.0,3.0,3.0,,,
408,86,Create an impressive special effect,13,Al Murray,3,,3,1=,,,3.46,5.0,3.0,3.5
409,86,Create an impressive special effect,14,Dave Gorman,3,,3,1=,,,3.46,5.0,3.0,3.5
410,86,Create an impressive special effect,15,Paul Chowdhry,3,,3,1=,,,3.46,5.0,3.0,3.5
411,86,Create an impressive special effect,16,Rob Beckett,2,,2,2=,,,2.31,3.0,2.0,2.5
412,86,Create an impressive special effect,17,Sara Pascoe,2,,2,2=,,,2.31,3.0,2.0,2.5
413,87,Cover yourself in sticky notes,13,Al Murray,2,,2,4,2.0,2.0,2.0,,,
414,87,Cover yourself in sticky notes,14,Dave Gorman,4,,4,2,4.0,4.0,4.0,,,
415,87,Cover yourself in sticky notes,15,Paul Chowdhry,1,,1,5,1.0,1.0,1.0,,,
416,87,Cover yourself in sticky notes,16,Rob Beckett,5,,5,1,5.0,5.0,5.0,,,
417,87,Cover yourself in sticky notes,17,Sara Pascoe,3,,3,3,3.0,3.0,3.0,,,
418,88,Have fun on a bouncy castle,15,Paul Chowdhry,0,,0,,,,,,,
419,89,The most handsome relative,13,Al Murray,4,,4,2,4.0,4.0,4.0,,,
420,89,The most handsome relative,14,Dave Gorman,5,,5,1,5.0,5.0,5.0,,,
421,89,The most handsome relative,15,Paul Chowdhry,1,,1,4=,2.0,1.5,1.0,,,
422,89,The most handsome relative,16,Rob Beckett,3,,3,3,3.0,3.0,3.0,,,
423,89,The most handsome relative,17,Sara Pascoe,1,,1,4=,2.0,1.5,1.0,,,
424,90,Move water from one bucket to another,13,Al Murray,5,,5,1,5.0,5.0,5.0,,,
425,90,Move water from one bucket to another,14,Dave Gorman,,,0,,,,,,,
426,90,Move water from one bucket to another,15,Paul Chowdhry,3,,3,3,3.0,3.0,3.0,,,
427,90,Move water from one bucket to another,16,Rob Beckett,4,,4,2,4.0,4.0,4.0,,,
428,90,Move water from one bucket to another,17,Sara Pascoe,2,1,3,4,2.0,2.0,2.0,,,
429,91,Play charades across a river,13,Al Murray,5,,5,1=,,,5.0,5.0,3.0,3.5
430,91,Play charades across a river,14,Dave Gorman,5,,5,1=,,,5.0,5.0,3.0,3.5
431,91,Play charades across a river,15,Paul Chowdhry,5,,5,1=,,,5.0,5.0,3.0,3.5
432,91,Play charades across a river,16,Rob Beckett,0,,0,,,,,,,
433,91,Play charades across a river,17,Sara Pascoe,0,,0,,,,,,,
434,92,Create an impressive time-lapse or slow motion film,13,Al Murray,2,,2,5,1.0,1.0,1.67,,,
435,92,Create an impressive time-lapse or slow motion film,14,Dave Gorman,3,,3,3=,3.0,2.5,2.5,,,
436,92,Create an impressive time-lapse or slow motion film,15,Paul Chowdhry,3,,3,3=,3.0,2.5,2.5,,,
437,92,Create an impressive time-lapse or slow motion film,16,Rob Beckett,5,,5,1=,5.0,4.5,4.17,,,
438,92,Create an impressive time-lapse or slow motion film,17,Sara Pascoe,5,,5,1=,5.0,4.5,4.17,,,
439,93,The lowest unique number of doughnuts,13,Al Murray,0,,0,,,,,,,
440,93,The lowest unique number of doughnuts,14,Dave Gorman,0,,0,,,,,,,
441,93,The lowest unique number of doughnuts,15,Paul Chowdhry,0,,0,,,,,,,
442,93,The lowest unique number of doughnuts,16,Rob Beckett,5,,5,1,5.0,5.0,5.0,,,
443,93,The lowest unique number of doughnuts,17,Sara Pascoe,0,,0,,,,,,,
444,94,The most interesting vegetable autograph,18,Hugh Dennis,1,,1,5,1.0,1.0,1.0,,,
445,94,The most interesting vegetable autograph,19,Joe Lycett,2,,2,4,2.0,2.0,2.0,,,
446,94,The most interesting vegetable autograph,20,Lolly Adefope,3,,3,3,3.0,3.0,3.0,,,
447,94,The most interesting vegetable autograph,21,Mel Giedroyc,4,,4,2,4.0,4.0,4.0,,,
448,94,The most interesting vegetable autograph,22,Noel Fielding,5,,5,1,5.0,5.0,5.0,,,
449,95,Beautifully destroy a cake,18,Hugh Dennis,1,,1,5,1.0,1.0,1.0,,,
450,95,Beautifully destroy a cake,19,Joe Lycett,5,,5,1,5.0,5.0,5.0,,,
451,95,Beautifully destroy a cake,20,Lolly Adefope,2,,2,4,2.0,2.0,2.0,,,
452,95,Beautifully destroy a cake,21,Mel Giedroyc,3,,3,3,3.0,3.0,3.0,,,
453,95,Beautifully destroy a cake,22,Noel Fielding,4,,4,2,4.0,4.0,4.0,,,
454,96,Draw a blind portrait,18,Hugh Dennis,1,1,2,5,1.0,1.0,1.0,,,
455,96,Draw a blind portrait,19,Joe Lycett,4,,4,2,4.0,4.0,4.0,,,
456,96,Draw a blind portrait,20,Lolly Adefope,3,,3,3,3.0,3.0,3.0,,,
457,96,Draw a blind portrait,21,Mel Giedroyc,2,1,3,4,2.0,2.0,2.0,,,
458,96,Draw a blind portrait,22,Noel Fielding,5,,5,1,5.0,5.0,5.0,,,
459,97,Fell all the ducks,18,Hugh Dennis,5,,5,1,5.0,5.0,5.0,,,
460,97,Fell all the ducks,19,Joe Lycett,3,,3,3,3.0,3.0,3.0,,,
461,97,Fell all the ducks,20,Lolly Adefope,4,,4,2,4.0,4.0,4.0,,,
462,97,Fell all the ducks,21,Mel Giedroyc,1,,1,5,1.0,1.0,1.0,,,
463,97,Fell all the ducks,22,Noel Fielding,2,,2,4,2.0,2.0,2.0,,,
464,98,Make the most fruit juice,18,Hugh Dennis,4,,4,2,4.0,4.0,4.0,,,
465,98,Make the most fruit juice,19,Joe Lycett,3,,3,3,3.0,3.0,3.0,,,
466,98,Make the most fruit juice,20,Lolly Adefope,1,,1,5,1.0,1.0,1.0,,,
467,98,Make the most fruit juice,21,Mel Giedroyc,5,,5,1,5.0,5.0,5.0,,,
468,98,Make the most fruit juice,22,Noel Fielding,2,,2,4,2.0,2.0,2.0,,,
469,99,The most boastful item,18,Hugh Dennis,1,,1,5,1.0,1.0,1.0,,,
470,99,The most boastful item,19,Joe Lycett,2,,2,4,2.0,2.0,2.0,,,
471,99,The most boastful item,20,Lolly Adefope,4,,4,2,4.0,4.0,4.0,,,
472,99,The most boastful item,21,Mel Giedroyc,3,,3,3,3.0,3.0,3.0,,,
473,99,The most boastful item,22,Noel Fielding,5,,5,1,5.0,5.0,5.0,,,
474,100,Keep the basketball on the treadmill,18,Hugh Dennis,5,,5,1,5.0,5.0,5.0,,,
475,100,Keep the basketball on the treadmill,19,Joe Lycett,2,,2,4,2.0,2.0,2.0,,,
476,100,Keep the basketball on the treadmill,20,Lolly Adefope,4,,4,2,4.0,4.0,4.0,,,
477,100,Keep the basketball on the treadmill,21,Mel Giedroyc,3,,3,3,3.0,3.0,3.0,,,
478,100,Keep the basketball on the treadmill,22,Noel Fielding,1,,1,5,1.0,1.0,1.0,,,
479,101,Paint a portrait of the Taskmaster without touching the red mat,18,Hugh Dennis,,,0,,,,,,,
480,101,Paint a portrait of the Taskmaster without touching the red mat,19,Joe Lycett,4,,4,2,4.0,4.0,4.0,,,
481,101,Paint a portrait of the Taskmaster without touching the red mat,20,Lolly Adefope,2,,2,4,2.0,2.0,2.0,,,
482,101,Paint a portrait of the Taskmaster without touching the red mat,21,Mel Giedroyc,3,,3,3,3.0,3.0,3.0,,,
483,101,Paint a portrait of the Taskmaster without touching the red mat,22,Noel Fielding,5,,5,1,5.0,5.0,5.0,,,
484,102,Get the flour onto the target,18,Hugh Dennis,5,,5,1=,,,5.0,5.0,3.0,3.5
485,102,Get the flour onto the target,19,Joe Lycett,,,0,,,,,,,
486,102,Get the flour onto the target,20,Lolly Adefope,,,0,,,,,,,
487,102,Get the flour onto the target,21,Mel Giedroyc,5,,5,1=,,,5.0,5.0,3.0,3.5
488,102,Get the flour onto the target,22,Noel Fielding,,,0,,,,,,,
489,103,Put an egg in an egg cup without touching either,18,Hugh Dennis,2,,2,4,2.0,2.0,2.0,,,
490,103,Put an egg in an egg cup without touching either,19,Joe Lycett,3,,3,3,3.0,3.0,3.0,,,
491,103,Put an egg in an egg cup without touching either,20,Lolly Adefope,5,,5,1,5.0,5.0,5.0,,,
492,103,Put an egg in an egg cup without touching either,21,Mel Giedroyc,1,,1,5,1.0,1.0,1.0,,,
493,103,Put an egg in an egg cup without touching either,22,Noel Fielding,4,,4,2,4.0,4.0,4.0,,,
494,104,Make the longest balloon chain,18,Hugh Dennis,4,,4,2,4.0,4.0,3.53,,,
495,104,Make the longest balloon chain,19,Joe Lycett,2,,2,5,1.0,1.0,1.76,,,
496,104,Make the longest balloon chain,20,Lolly Adefope,3,,3,3=,3.0,2.5,2.65,,,
497,104,Make the longest balloon chain,21,Mel Giedroyc,5,,5,1,5.0,5.0,4.41,,,
498,104,Make the longest balloon chain,22,Noel Fielding,3,,3,3=,3.0,2.5,2.65,,,
499,105,The best subscription,18,Hugh Dennis,1,,1,5,1.0,1.0,1.0,,,
500,105,The best subscription,19,Joe Lycett,3,,3,3,3.0,3.0,3.0,,,
501,105,The best subscription,20,Lolly Adefope,4,,4,2,4.0,4.0,4.0,,,
502,105,The best subscription,21,Mel Giedroyc,2,,2,4,2.0,2.0,2.0,,,
503,105,The best subscription,22,Noel Fielding,5,,5,1,5.0,5.0,5.0,,,
504,106,Camouflage yourself,18,Hugh Dennis,4,,4,2=,4.0,3.5,3.75,,,
505,106,Camouflage yourself,19,Joe Lycett,4,,4,2=,4.0,3.5,3.75,,,
506,106,Camouflage yourself,20,Lolly Adefope,2,,2,4,2.0,2.0,1.88,,,
507,106,Camouflage yourself,21,Mel Giedroyc,1,,1,5,1.0,1.0,0.938,,,
508,106,Camouflage yourself,22,Noel Fielding,5,,5,1,5.0,5.0,4.69,,,
509,107,Make a Taskmaster movie trailer,18,Hugh Dennis,3,,3,1=,,,3.75,5.0,3.0,3.5
510,107,Make a Taskmaster movie trailer,19,Joe Lycett,2,,2,2=,,,2.5,3.0,2.0,2.5
511,107,Make a Taskmaster movie trailer,20,Lolly Adefope,2,,2,2=,,,2.5,3.0,2.0,2.5
512,107,Make a Taskmaster movie trailer,21,Mel Giedroyc,3,,3,1=,,,3.75,5.0,3.0,3.5
513,107,Make a Taskmaster movie trailer,22,Noel Fielding,2,,2,2=,,,2.5,3.0,2.0,2.5
514,108,Persuade three animals to stand on the mat,18,Hugh Dennis,3,,3,3,3.0,3.0,3.0,,,
515,108,Persuade three animals to stand on the mat,19,Joe Lycett,5,,5,1,5.0,5.0,5.0,,,
516,108,Persuade three animals to stand on the mat,20,Lolly Adefope,2,2,4,4,2.0,2.0,2.0,,,
517,108,Persuade three animals to stand on the mat,21,Mel Giedroyc,1,,1,5,1.0,1.0,1.0,,,
518,108,Persuade three animals to stand on the mat,22,Noel Fielding,4,,4,2,4.0,4.0,4.0,,,
519,109,Transfer water from one fishbowl to another,18,Hugh Dennis,4,,4,2,4.0,4.0,4.0,,,
520,109,Transfer water from one fishbowl to another,19,Joe Lycett,5,-5,0,1,5.0,5.0,5.0,,,
521,109,Transfer water from one fishbowl to another,20,Lolly Adefope,,,0,,,,,,,
522,109,Transfer water from one fishbowl to another,21,Mel Giedroyc,1,-5,-4,4,2.0,2.0,1.0,,,
523,109,Transfer water from one fishbowl to another,22,Noel Fielding,3,,3,3,3.0,3.0,3.0,,,
524,110,Musical words,18,Hugh Dennis,0,,0,,,,,,,
525,110,Musical words,19,Joe Lycett,5,,5,1,5.0,5.0,5.0,,,
526,110,Musical words,20,Lolly Adefope,0,,0,,,,,,,
527,110,Musical words,21,Mel Giedroyc,0,,0,,,,,,,
528,110,Musical words,22,Noel Fielding,0,,0,,,,,,,
529,111,Decant wine from one bottle to another,19,Joe Lycett,0,,0,,,,,,,
530,111,Decant wine from one bottle to another,22,Noel Fielding,0,,0,,,,,,,
531,112,The most surprising picture of yourself,18,Hugh Dennis,1,,1,5,1.0,1.0,1.0,,,
532,112,The most surprising picture of yourself,19,Joe Lycett,4,,4,2,4.0,4.0,4.0,,,
533,112,The most surprising picture of yourself,20,Lolly Adefope,5,,5,1,5.0,5.0,5.0,,,
534,112,The most surprising picture of yourself,21,Mel Giedroyc,3,,3,3,3.0,3.0,3.0,,,
535,112,The most surprising picture of yourself,22,Noel Fielding,2,,2,4,2.0,2.0,2.0,,,
536,113,Make the highest splash,18,Hugh Dennis,2,,2,4,2.0,2.0,2.0,,,
537,113,Make the highest splash,19,Joe Lycett,3,,3,3,3.0,3.0,3.0,,,
538,113,Make the highest splash,20,Lolly Adefope,1,,1,5,1.0,1.0,1.0,,,
539,113,Make the highest splash,21,Mel Giedroyc,4,,4,2,4.0,4.0,4.0,,,
540,113,Make the highest splash,22,Noel Fielding,5,,5,1,5.0,5.0,5.0,,,
541,114,Ringtone choreography,18,Hugh Dennis,1,,1,5,1.0,1.0,0.938,,,
542,114,Ringtone choreography,19,Joe Lycett,2,,2,4,2.0,2.0,1.88,,,
543,114,Ringtone choreography,20,Lolly Adefope,3,,3,3,3.0,3.0,2.81,,,
544,114,Ringtone choreography,21,Mel Giedroyc,5,,5,1=,5.0,4.5,4.69,,,
545,114,Ringtone choreography,22,Noel Fielding,5,,5,1=,5.0,4.5,4.69,,,
546,115,Make the best toilet paper celebrity portrait,18,Hugh Dennis,3,,3,3,3.0,3.0,2.81,,,
547,115,Make the best toilet paper celebrity portrait,19,Joe Lycett,4,,4,2,4.0,4.0,3.75,,,
548,115,Make the best toilet paper celebrity portrait,20,Lolly Adefope,2,,2,4=,2.0,1.5,1.88,,,
549,115,Make the best toilet paper celebrity portrait,21,Mel Giedroyc,2,,2,4=,2.0,1.5,1.88,,,
550,115,Make the best toilet paper celebrity portrait,22,Noel Fielding,5,,5,1,5.0,5.0,4.69,,,
551,116,Do something incredible with a pommel horse,18,Hugh Dennis,5,,5,1=,5.0,4.5,4.41,,,
552,116,Do something incredible with a pommel horse,19,Joe Lycett,3,,3,3=,3.0,2.5,2.65,,,
553,116,Do something incredible with a pommel horse,20,Lolly Adefope,1,,1,5,1.0,1.0,0.882,,,
